query,song_id
Give me some popular songs in a minor key with high liveness and speechiness.,3z8h0TU7ReDPLIbEnYhWZb
I want more glam rock tunes with high acousticness and a low valence.,3z8h0TU7ReDPLIbEnYhWZb
Do you have any upbeat songs in C minor with a very high tempo?,3z8h0TU7ReDPLIbEnYhWZb
"I'm in the mood for some modern rock like Imagine Dragons, but with a more mellow vibe",2RSHsoi04658QL5xgQVov3
"Give me some high-energy, major key rock tracks released in the last few years",2RSHsoi04658QL5xgQVov3
I want to hear more songs like 'Bad Liar' that are popular but not explicit,2RSHsoi04658QL5xgQVov3
"Find me some rock tunes with high speechiness and instrumentalness, similar to 'Bad Liar'",2RSHsoi04658QL5xgQVov3
"I need some energetic rock songs with a high tempo and high loudness, like 'Bad Liar'",2RSHsoi04658QL5xgQVov3
Can you recommend more modern country rock songs with very high popularity?,1kFBLqkTuNKlspkJ1EOGjN
I'm looking for something mellow with a very high acousticness and low energy.,1kFBLqkTuNKlspkJ1EOGjN
Give me upbeat tracks in major key with a tempo similar to this one.,1kFBLqkTuNKlspkJ1EOGjN
Do you have any popular songs in C major that are not explicit?,1kFBLqkTuNKlspkJ1EOGjN
What other solo songs do you have with a very low valence and medium liveness?,1kFBLqkTuNKlspkJ1EOGjN
Can you recommend more high-energy rock songs similar to 'Jumpsuit' by Twenty One Pilots?,1E1uGhNdBe6Dddbgs2KqtZ
I'm looking for rock tracks with high instrumental presence and a minor key like 'Jumpsuit'. Any suggestions?,1E1uGhNdBe6Dddbgs2KqtZ
Give me some popular rock songs from recent years that are not explicit and have a low acousticness.,1E1uGhNdBe6Dddbgs2KqtZ
Do you have any rock tracks in a minor key with high liveness and danceability?,1E1uGhNdBe6Dddbgs2KqtZ
"Recommend me some rock songs with medium energy levels and very low valence, like 'Jumpsuit'.",1E1uGhNdBe6Dddbgs2KqtZ
Can you recommend more rock songs like 'My Blood' by Twenty One Pilots?,5HeKOKc4phmLn8e4I7EkzD
"I'm in the mood for some high-energy rock tracks in a major key, similar to this one.",5HeKOKc4phmLn8e4I7EkzD
Give me popular rock songs from 2018 with a danceable tempo and high instrumentalness.,5HeKOKc4phmLn8e4I7EkzD
"I'm looking for rock music with a medium valence and high loudness, any suggestions?",5HeKOKc4phmLn8e4I7EkzD
"Do you have any rock songs that are not explicit, with a low acousticness and high energy level?",5HeKOKc4phmLn8e4I7EkzD
Can you recommend more songs like Nico And The Niners by Twenty One Pilots?,5SehvGGC53A7SZKCLXQcyt
Give me some rock tracks with a high danceability and very high popularity,5SehvGGC53A7SZKCLXQcyt
I'm in the mood for something with very low valence and medium loudness,5SehvGGC53A7SZKCLXQcyt
Find me energetic rock songs in the key of A minor from 2018,5SehvGGC53A7SZKCLXQcyt
"Do you have any non-explicit, high tempo tracks with very high liveness?",5SehvGGC53A7SZKCLXQcyt
Can you recommend more modern country rock songs with high energy and major key like 'Life Changes'?,4Vxu50qVrQcycjRyJQaZLC
"I'm in the mood for some upbeat tracks with high danceability and a major key, similar to 'Life Changes'.",4Vxu50qVrQcycjRyJQaZLC
Give me some popular solo modern country rock songs from around 2017 that are not explicit like 'Life Changes'.,4Vxu50qVrQcycjRyJQaZLC
"I'm looking for more high-energy, major key songs with high valence and high speechiness like 'Life Changes'.",4Vxu50qVrQcycjRyJQaZLC
"Could you suggest some modern country rock tracks with high danceability and a major key, similar to 'Life Changes'?",4Vxu50qVrQcycjRyJQaZLC
Can you suggest more modern country rock songs with high energy like 'Hooked' by Dylan Scott?,3DV49ruvI5Sl6iisPZAc2c
Give me some popular solo tracks in the key of A with a high tempo similar to 'Hooked'.,3DV49ruvI5Sl6iisPZAc2c
"I'm in the mood for some upbeat, non-explicit music with a low valence. Any recommendations similar to 'Hooked'?",3DV49ruvI5Sl6iisPZAc2c
How about some modern country rock songs with very low instrumentalness and a major mode like 'Hooked'?,3DV49ruvI5Sl6iisPZAc2c
I'm looking for more high-energy tracks in the key of A with low acousticness. Any suggestions similar to 'Hooked'?,3DV49ruvI5Sl6iisPZAc2c
Can you recommend more pop rock songs like this one from recent years?,7BXW1QCg56yzEBV8pW8pah
Give me some medium-tempo tracks in a minor key with high energy levels.,7BXW1QCg56yzEBV8pW8pah
I'm in the mood for more uplifting music that's not too loud or danceable.,7BXW1QCg56yzEBV8pW8pah
How about some popular songs from artists similar to Jason Mraz?,7BXW1QCg56yzEBV8pW8pah
Find me music with vocals that are not too speech-heavy and have a moderate emotional tone.,7BXW1QCg56yzEBV8pW8pah
Can you recommend something with a high tempo and high energy like Imagine Dragons' Whatever It Takes?,6Qn5zhYkTa37e91HC1D7lb
Give me more modern rock tracks that are not explicit and have a medium level of energy.,6Qn5zhYkTa37e91HC1D7lb
"I'm looking for songs in a minor key similar to Whatever It Takes, with high danceability.",6Qn5zhYkTa37e91HC1D7lb
Recommend me some very popular solo modern rock tracks from 2017 with a high tempo.,6Qn5zhYkTa37e91HC1D7lb
Do you have any non-acoustic modern rock songs with a high level of danceability and medium valence,6Qn5zhYkTa37e91HC1D7lb
Can you recommend more upbeat modern rock songs like this one?,4BdGO1CaObRD4La9l5Zanz
I'm in the mood for high-energy tracks with a minor key like 'Sit Next to Me',4BdGO1CaObRD4La9l5Zanz
Give me more songs from Foster The People that are popular and not explicit,4BdGO1CaObRD4La9l5Zanz
Do you have any solo modern rock songs in a lower tempo similar to this one?,4BdGO1CaObRD4La9l5Zanz
I'm looking for music with very high liveness and loudness like 'Sit Next to Me',4BdGO1CaObRD4La9l5Zanz
Can you recommend more modern rock songs with a high energy level?,76vMKwFtdDDCLcM6zXybjB
Give me some high-tempo tracks in minor keys from recent years.,76vMKwFtdDDCLcM6zXybjB
I'm in the mood for something with high energy and very high liveliness.,76vMKwFtdDDCLcM6zXybjB
Find me popular modern rock songs that are not explicit and have a very high loudness level.,76vMKwFtdDDCLcM6zXybjB
Do you have any solo tracks with very high energy and very high speechiness?,76vMKwFtdDDCLcM6zXybjB
"Can you recommend more high-energy modern country rock songs like 'Woman, Amen'?",3nBXOlFTADNvG9nkqy2O2W
I'm looking for upbeat tracks in a major key with high speechiness and high liveness.,3nBXOlFTADNvG9nkqy2O2W
Give me some popular rock songs from 2018 with a very low acousticness and high loudness.,3nBXOlFTADNvG9nkqy2O2W
Suggest some solo tracks with a high instrumentalness and very high valence.,3nBXOlFTADNvG9nkqy2O2W
"Do you have any non-explicit, high-energy rock songs in the key of F with a medium tempo?",3nBXOlFTADNvG9nkqy2O2W
Can you recommend more high-energy modern country rock songs like this one?,0LG2cFomCi8Fb664Lvr3Nu
I'm in the mood for something upbeat and in a major key with very low acousticness.,0LG2cFomCi8Fb664Lvr3Nu
Give me more very high tempo tracks with a medium valence.,0LG2cFomCi8Fb664Lvr3Nu
Do you have any popular solo songs with low danceability and high energy?,0LG2cFomCi8Fb664Lvr3Nu
"I'm looking for non-explicit, very high tempo modern country rock songs from 2017.",0LG2cFomCi8Fb664Lvr3Nu
I'm in the mood for some high-energy modern rock similar to Imagine Dragons' 'Thunder',1zB4vmk8tFRmM9UULNzbLB
Give me more songs with very high popularity and high instrumentalness in the key of C,1zB4vmk8tFRmM9UULNzbLB
Can you recommend something with a major mode and very low acousticness like 'Thunder'?,1zB4vmk8tFRmM9UULNzbLB
I want to discover more solo songs in a major key with a very high tempo,1zB4vmk8tFRmM9UULNzbLB
Do you have any high-energy modern rock tracks with very high loudness and very low valence?,1zB4vmk8tFRmM9UULNzbLB
Can you recommend more modern rock tracks with a high energy level like 'Feel It Still'?,6QgjcU0zLnzq5OrUoSZ3OK
I'm looking for popular songs with a similar mood and tempo as 'Feel It Still'.,6QgjcU0zLnzq5OrUoSZ3OK
"Give me recommendations for fast-paced, high-energy rock songs in a minor key.",6QgjcU0zLnzq5OrUoSZ3OK
"Do you have any upbeat, danceable tracks in the key of C# like 'Feel It Still'?",6QgjcU0zLnzq5OrUoSZ3OK
I'm interested in solo modern rock songs with a high valence and low acousticness.,6QgjcU0zLnzq5OrUoSZ3OK
Can you recommend more modern country rock songs with a high acoustic feel and low danceability?,5vuMtXS5kQ7F0o9V9rG1dG
Give me popular solo tracks from the late 2010s that are not explicit and have a low valence,5vuMtXS5kQ7F0o9V9rG1dG
I'm in the mood for some medium-energy songs in a major key with low instrumentalness,5vuMtXS5kQ7F0o9V9rG1dG
"Find me more tracks with a very low tempo and medium loudness, similar to this one",5vuMtXS5kQ7F0o9V9rG1dG
Are there any very popular modern country rock songs with medium speechiness and very low liveness?,5vuMtXS5kQ7F0o9V9rG1dG
Can you recommend more modern country rock songs with a very high popularity?,0OWZFobGSIW9GrSlQ9C5pc
Give me some solo tracks with a low valence and very low energy like 'Marry Me',0OWZFobGSIW9GrSlQ9C5pc
I'm looking for songs in a major key with medium danceability and medium acousticness from around 2017,0OWZFobGSIW9GrSlQ9C5pc
What are some popular tracks in a major key with very low tempo and very low instrumentalness?,0OWZFobGSIW9GrSlQ9C5pc
Find me some non-explicit modern country rock songs with medium liveness and medium loudness,0OWZFobGSIW9GrSlQ9C5pc
I'm in the mood for something acoustic and mellow like 'Five More Minutes',1eFrhAmzoQnTlwvnqvLt7D
Give me more modern country rock songs with a high energy level,1eFrhAmzoQnTlwvnqvLt7D
Can you recommend some upbeat tracks in the key of G similar to Scotty McCreery?,1eFrhAmzoQnTlwvnqvLt7D
I want songs with very high popularity that are not explicit,1eFrhAmzoQnTlwvnqvLt7D
Find me more solo tracks with very low instrumentalness and a major mode,1eFrhAmzoQnTlwvnqvLt7D
I'm in the mood for some chill modern country rock like 'All on Me',2mfahQ0EaaZWq4cFNg6A1o
Can you suggest more popular solo tracks in the key of F with a medium energy level?,2mfahQ0EaaZWq4cFNg6A1o
Give me some high-energy modern country rock songs from 2018 with a major mode,2mfahQ0EaaZWq4cFNg6A1o
I'm looking for upbeat tracks with a high liveness and medium valence,2mfahQ0EaaZWq4cFNg6A1o
Recommend me some modern country rock songs that are not explicit and have a very low instrumentalness,2mfahQ0EaaZWq4cFNg6A1o
Can you recommend more modern rock songs with high energy and a major key like 'No Roots'?,222v3YWai71jHuHjeBCFBs
"I'm looking for solo tracks with very high danceability and very high valence, similar to Alice Merton's work.",222v3YWai71jHuHjeBCFBs
"Give me some upbeat, mellow songs in the key of G, with very low liveness and high acousticness.",222v3YWai71jHuHjeBCFBs
Do you have any popular modern rock tracks with a medium tempo and very high speechiness?,222v3YWai71jHuHjeBCFBs
"I'm interested in songs that are not explicit, medium loudness, and high instrumentalness like 'No Roots'.",222v3YWai71jHuHjeBCFBs
Can you recommend more modern country rock songs with high energy like 'Yours'?,6RSNKGdv3nDTHqgw4bdzyF
I'm in the mood for something with a high tempo in a major key like 'Yours'. Any suggestions?,6RSNKGdv3nDTHqgw4bdzyF
"Give me music that's not too danceable or acoustic, similar to 'Yours'.",6RSNKGdv3nDTHqgw4bdzyF
I want to discover more very popular solo songs in B major that are not explicit. Any recommendations?,6RSNKGdv3nDTHqgw4bdzyF
Do you have any very high energy modern country rock tracks like 'Yours' but with a medium valence?,6RSNKGdv3nDTHqgw4bdzyF
Find more modern rock songs from 2017 with high energy levels,0iQ77tSa7ncj7zBPtVx6cU
Give me upbeat tracks in a major key like C,0iQ77tSa7ncj7zBPtVx6cU
Recommend popular rock songs with very high liveliness,0iQ77tSa7ncj7zBPtVx6cU
Suggest non-explicit solo songs in a low tempo,0iQ77tSa7ncj7zBPtVx6cU
Find modern rock songs with a very high loudness,0iQ77tSa7ncj7zBPtVx6cU
Can you recommend more modern country rock songs like Losing Sleep?,6waqLPcT6ruMhmd36OhmFO
Give me some high-energy tracks in a major key similar to Losing Sleep.,6waqLPcT6ruMhmd36OhmFO
I'm looking for popular songs with medium danceability and low instrumentalness.,6waqLPcT6ruMhmd36OhmFO
Find me some solo songs with very high liveness and high loudness.,6waqLPcT6ruMhmd36OhmFO
Do you have any medium-tempo tracks in a major key with medium valence?,6waqLPcT6ruMhmd36OhmFO
Can you recommend more modern rock tracks with high energy and a minor key like 'Believer' by Imagine Dragons?,0pqnGHJpmpxLKifKRmU6WP
Give me some popular modern rock songs from the last few years that are very danceable and have a high level of loudness.,0pqnGHJpmpxLKifKRmU6WP
I'm in the mood for some upbeat modern rock tracks in a minor key. Can you suggest some songs with medium tempo and medium valence?,0pqnGHJpmpxLKifKRmU6WP
Do you have any modern rock songs with very high speechiness and very low instrumentalness similar to 'Believer'?,0pqnGHJpmpxLKifKRmU6WP
I'm looking for some non-explicit modern rock tracks with very high popularity and a high level of energy. Can you recommend any?,0pqnGHJpmpxLKifKRmU6WP
Can you recommend more modern country rock songs with a similar mood to 'Round Here Buzz' by Eric Church?,52ioLaTnO2J7BWY8UN2n9D
Give me some popular songs by Eric Church released around 2015 that are in a major key like 'Round Here Buzz'.,52ioLaTnO2J7BWY8UN2n9D
I'm looking for solo tracks with low energy and a medium tempo like 'Round Here Buzz'. What do you suggest?,52ioLaTnO2J7BWY8UN2n9D
"Are there any non-explicit, very low tempo songs in D major that are popular like 'Round Here Buzz'?",52ioLaTnO2J7BWY8UN2n9D
Could you recommend some modern country rock songs with very low valence and low acousticness similar to 'Round Here Buzz'?,52ioLaTnO2J7BWY8UN2n9D
Can you recommend more modern country rock songs from the late 2010s with a similar feel to LANCO's 'Greatest Love Story'?,2yQZwi1P8AkkxxFhQ8rMEK
Give me some upbeat tracks in a major key with high danceability and tempo similar to LANCO's hit song.,2yQZwi1P8AkkxxFhQ8rMEK
"I'm in the mood for some mellow, acoustic modern country rock songs—can you suggest something like LANCO's 'Greatest Love Story'?",2yQZwi1P8AkkxxFhQ8rMEK
"Recommend me some popular songs with heartfelt lyrics and a medium energy level, similar to LANCO's style.",2yQZwi1P8AkkxxFhQ8rMEK
Find me more country rock tracks that are non-explicit and have a mix of lively instrumentals and heartfelt vocals like LANCO's music.,2yQZwi1P8AkkxxFhQ8rMEK
Can you recommend more modern country rock songs with high energy and danceability?,30MM5jWpUmOxtTNd9Ey5LZ
Give me upbeat tracks in the key of G with very high valence and popularity.,30MM5jWpUmOxtTNd9Ey5LZ
"I'm in the mood for some high tempo, non-explicit solo songs from 2017.",30MM5jWpUmOxtTNd9Ey5LZ
"Do you have any feel-good, popular country rock tunes with low acousticness and very low speechiness?",30MM5jWpUmOxtTNd9Ey5LZ
"Find me some major key, high energy tracks by Thomas Rhett with high instrumentalness and low liveness.",30MM5jWpUmOxtTNd9Ey5LZ
Can you suggest some upbeat pop rock songs from the past few years?,16QN8cBubEq706vNtPpOME
"I'm in the mood for something with high energy and a positive vibe, similar to Love So Soft.",16QN8cBubEq706vNtPpOME
Give me some popular pop rock tracks that are not explicit and have a major key.,16QN8cBubEq706vNtPpOME
I want to discover more songs like Love So Soft with a high tempo and danceable beat.,16QN8cBubEq706vNtPpOME
What are some top-rated pop rock hits in B major that are not too loud or acoustic?,16QN8cBubEq706vNtPpOME
"I'm in the mood for some upbeat, high-energy modern country rock like Fix a Drink.",0s6OWiWGuiCcm1Muzch5A8
Can you recommend more songs with a very high tempo and a major key similar to Fix a Drink?,0s6OWiWGuiCcm1Muzch5A8
"Give me some high-energy tracks from 2017 like Fix a Drink, but maybe with lower speechiness.",0s6OWiWGuiCcm1Muzch5A8
I want to discover more modern country rock songs that are popular but not explicit like Fix a Drink.,0s6OWiWGuiCcm1Muzch5A8
Do you have any recommendations for solo artists with very high valence and energy levels like Chris Janson?,0s6OWiWGuiCcm1Muzch5A8
Can you recommend some upbeat modern country rock songs from the past few years?,31x4wWBghN7f5PiEZUmcAW
"I'm in the mood for something high-energy with a major key, but not too danceable.",31x4wWBghN7f5PiEZUmcAW
Give me more popular tracks with high energy and high loudness.,31x4wWBghN7f5PiEZUmcAW
Find me some solo songs with very high liveliness and high speechiness.,31x4wWBghN7f5PiEZUmcAW
Do you have any modern country rock tunes in a major key that are not too acoustic and have a very high energy level?,31x4wWBghN7f5PiEZUmcAW
Can you recommend more modern country rock songs with high energy like this one by Jon Pardi?,0w3Q14i073jLoew1hgJkwD
"I'm in the mood for something upbeat and danceable in the key of A major, similar to 'Heartache On The Dance Floor'. Any suggestions?",0w3Q14i073jLoew1hgJkwD
"Give me more popular solo tracks from 2016 with a medium tempo and medium valence, but without explicit lyrics.",0w3Q14i073jLoew1hgJkwD
I want to explore more music in the major key that has a very high loudness and medium speechiness. Any recommendations?,0w3Q14i073jLoew1hgJkwD
"Do you have any modern country rock songs with low acousticness and very low instrumentalness, similar to Jon Pardi's style?",0w3Q14i073jLoew1hgJkwD
Can you recommend more modern country rock songs similar to this one?,73WWkaWkIRSP3MYGZ14aY4
Give me upbeat tracks in the key of D with high energy and a happy mood like this one.,73WWkaWkIRSP3MYGZ14aY4
"I'm looking for popular songs with a solo artist that are not explicit, any recommendations?",73WWkaWkIRSP3MYGZ14aY4
"Find me some high-energy, low-tempo tracks with a major key and high loudness like this one.",73WWkaWkIRSP3MYGZ14aY4
"Suggest some songs with very low acousticness, low danceability, and high valence similar to this one.",73WWkaWkIRSP3MYGZ14aY4
Can you recommend more modern country rock songs like 'Small Town Boy'?,2YMhrXQYKkm4kXLcXKKd5z
I'm in the mood for some high-energy tracks in a major key similar to this one.,2YMhrXQYKkm4kXLcXKKd5z
Give me some popular songs from 2017 with a medium valence and low tempo.,2YMhrXQYKkm4kXLcXKKd5z
Do you have any non-explicit solo tracks with very high liveness and high loudness?,2YMhrXQYKkm4kXLcXKKd5z
I'm looking for more songs with low danceability and very high instrumentalness.,2YMhrXQYKkm4kXLcXKKd5z
Can you suggest more modern country rock songs with high energy and a major key similar to 'Do I Make You Wanna'?,3I7krC8kr0gFR7P6vInR1I
Give me popular solo tracks from the mid-2010s with low danceability and high liveness like this one.,3I7krC8kr0gFR7P6vInR1I
"I'm in the mood for something with a very low tempo and low valence, maybe another song in A major from 2015?",3I7krC8kr0gFR7P6vInR1I
Do you have any high-energy country rock songs from the same era that are not explicit? 'Do I Make You Wanna' was very high in popularity.,3I7krC8kr0gFR7P6vInR1I
"I'm looking for more songs with very low instrumentalness and very low speechiness, like this one.",3I7krC8kr0gFR7P6vInR1I
Can you recommend more modern country rock songs like this one?,08wJ1B9yu9sPeoRa5fbpr3
Give me some high-energy tracks in a major key with a medium tempo.,08wJ1B9yu9sPeoRa5fbpr3
I'm looking for upbeat songs with very low acousticness and high instrumentalness.,08wJ1B9yu9sPeoRa5fbpr3
Do you have any popular tracks with very high danceability and high loudness?,08wJ1B9yu9sPeoRa5fbpr3
Recommend me some feel-good songs with high valence and a medium tempo.,08wJ1B9yu9sPeoRa5fbpr3
Can you suggest more high-energy modern country rock tracks similar to 'My Girl'?,3izNaTiYdotdPL0Bs76JqO
Give me some upbeat songs in the key of C# that are not too acoustic.,3izNaTiYdotdPL0Bs76JqO
"I'm in the mood for some popular country-rock from 2017, but more mellow than 'My Girl'.",3izNaTiYdotdPL0Bs76JqO
Do you have any modern country rock songs with low valence and medium loudness?,3izNaTiYdotdPL0Bs76JqO
I'm looking for non-explicit solo tracks with a high danceability level.,3izNaTiYdotdPL0Bs76JqO
Can you suggest more modern country rock songs similar to 'Somebody Else Will'?,3n2A6l4UayVe3GGKCvfQWV
I'm in the mood for some high-energy tracks in a minor key like this one.,3n2A6l4UayVe3GGKCvfQWV
Give me some popular songs with very high tempo and high energy.,3n2A6l4UayVe3GGKCvfQWV
Find me some modern country rock songs by artists with medium popularity.,3n2A6l4UayVe3GGKCvfQWV
"Do you have any non-explicit, high-energy songs in the key of D for me?",3n2A6l4UayVe3GGKCvfQWV
Can you recommend some upbeat modern rock songs with a medium tempo?,3BuLtAmXKy5uQYl4ED1zBT
I'm looking for popular rock songs similar to 'Weak' by AJR.,3BuLtAmXKy5uQYl4ED1zBT
Give me some energetic solo rock tracks in the key of F.,3BuLtAmXKy5uQYl4ED1zBT
Do you have any modern rock songs with high danceability and medium energy?,3BuLtAmXKy5uQYl4ED1zBT
Suggest some mainstream rock tunes with a high liveness factor.,3BuLtAmXKy5uQYl4ED1zBT
Can you suggest more modern country rock songs like this one from 2017?,4Az17HfqonKSWNsaLgTBeK
I'm in the mood for some high-energy tracks in a major key similar to 'If I Told You'.,4Az17HfqonKSWNsaLgTBeK
Give me some solo songs with a high acousticness and very low instrumentalness.,4Az17HfqonKSWNsaLgTBeK
I want to discover more very high-popular songs with very low valence and tempo.,4Az17HfqonKSWNsaLgTBeK
Do you have any medium-energy tracks with very high liveness and a major key like 'If I Told You'?,4Az17HfqonKSWNsaLgTBeK
Can you recommend some high-energy tracks similar to Zac Brown Band's 'My Old Man'?,6OzujJBXwYPxJ7KeqflLtr
"I'm in the mood for something relaxing and acoustic, like 'My Old Man'. Any suggestions?",6OzujJBXwYPxJ7KeqflLtr
Give me some popular modern country rock songs in the key of E.,6OzujJBXwYPxJ7KeqflLtr
I want to explore more music with very low energy and very high acousticness.,6OzujJBXwYPxJ7KeqflLtr
Any upbeat tracks from 2017 with a major key like 'My Old Man'?,6OzujJBXwYPxJ7KeqflLtr
Can you recommend some modern country rock songs from the past few years with a high popularity?,2lFtnEmkIPm2ClN55e2chV
How about some solo tracks with a mellow vibe and a major key similar to 'Black' by Dierks Bentley?,2lFtnEmkIPm2ClN55e2chV
Give me energetic songs in a high key that are not explicit and have a medium tempo.,2lFtnEmkIPm2ClN55e2chV
"I'm looking for popular rock tracks with a high energy level and a medium valence, any suggestions?",2lFtnEmkIPm2ClN55e2chV
Do you have any acoustic modern country rock songs with a medium tempo and medium instrumentalness?,2lFtnEmkIPm2ClN55e2chV
I'm in the mood for some high-energy country rock similar to Hometown Girl,5C6uh95eAL0RBTSGXKQwvk
"Can you recommend more acoustic, mellow songs in a minor key like this one?",5C6uh95eAL0RBTSGXKQwvk
Give me some modern country tracks with very high popularity,5C6uh95eAL0RBTSGXKQwvk
I want to hear more solo songs with a high tempo and high instrumentalness,5C6uh95eAL0RBTSGXKQwvk
Find me country rock songs with a high energy level and low valence,5C6uh95eAL0RBTSGXKQwvk
Can you recommend more modern country rock songs with a mellow vibe like 'Boy'?,7A8OfzqXBHYGk61FZTHoeo
Give me popular solo tracks from artists similar to Lee Brice released in the past few years.,7A8OfzqXBHYGk61FZTHoeo
I'm looking for high-energy songs in a major key like 'Boy' but with more danceable beats.,7A8OfzqXBHYGk61FZTHoeo
Do you have any very high acoustic songs in the key of F# that are not explicit?,7A8OfzqXBHYGk61FZTHoeo
I need more mainstream country rock tracks that are upbeat and have a medium tempo.,7A8OfzqXBHYGk61FZTHoeo
Can you recommend more modern country rock songs with a similar high energy level like 'Dirt On My Boots'?,7f08qp3HROTkfrtNpiYGGo
Give me some high-energy solo tracks in major key with high danceability and very low instrumentalness.,7f08qp3HROTkfrtNpiYGGo
